file_path,要件1,要件2,要件3,要件4,要件1&2&4,top_tokens_要件1,top_tokens_要件2,top_tokens_要件3,top_tokens_要件4
PDF/cache/littleEDA/IPSJ-EC2024030.txt,0.200,0.600,1.000,0.800,0.200,明示;システム;鑑賞者;情動;開発者,でき;心;動き;達成;表現,ユーザ;作家;物語;言及;対象,エンベロープ;要件;操作;制御;生成
PDF/cache/littleEDA/IPSJ-EC2024003.txt,0.800,0.600,0.800,0.600,0.600,情動;驚き;ため;インタラクティブ;期待,驚き;ため;視点;欠く;達成,属性;食事者;ため;欲求;設計,ピッチ;率;達成;曲率;驚き
PDF/cache/littleEDA/IPSJ-EC2024006.txt,0.000,0.000,0.400,0.000,0.000,心;語;情動;動き;驚き,システム;心;要素;動き;達成,段階;設計;属性;ユーザ;参加者,達成;要件;心;ため;因果
PDF/cache/littleEDA/IPSJ-EC2024005.txt,0.000,0.200,1.000,0.800,0.000,い;語;情動;驚き;開発者,でき;達成;欠く;システム;特定,コミュニケーション;テキスト;明示;ユーザ;欲求,要件;表現;述べ;制御;強弱
PDF/cache/noEDA/IPSJ-EC2024020.txt,0.000,0.000,0.800,0.200,0.000,明示;い;語;期待;情動,システム;心;動き;達成;ため,属性;言及;欲求;プレイヤ;スキル,動き;因果;心;表現;要件
PDF/cache/noEDA/IPSJ-EC2024026.txt,0.000,0.000,0.600,0.000,0.000,ユーザ;情動;一切;楽し;体験,い;心;動き;ため;達成,属性;高齢化;ユーザ;ニーズ;制作,心;因果;動き;秒;以上
PDF/cache/noEDA/IPSJ-EC2024018.txt,0.000,0.000,0.000,0.000,0.000,明示;語;情動;具体的;楽しい,でき;達成;情動;い;システム,欲求;段階;設計;属性;ユーザ,心;動き;システム;達成;表現
PDF/cache/noEDA/IPSJ-EC2024004.txt,0.800,0.800,1.000,0.800,0.800,喚起;楽しめる;モチベーション;提供;いっ,提供;でき;状態;複数;検出,段階;設計;属性;未就学児;年齢,要件;HID;喚起;モチベーション;因果
PDF/cache/hasEDA/IPSJ-EC2024037.txt,1.000,1.000,1.000,1.000,1.000,つながり;達成;視聴者;感;開発者,達成;We;mode;感;条件,欲求;段階;設計;ユーザ;感,生起;感;達成;要件;We
PDF/cache/hasEDA/IPSJ-EC2024024.txt,1.000,1.000,1.000,1.000,1.000,用い;語;軽減;羞恥;緊張,標準;アバタ;軽減;羞恥;緊張,アンケート;事前;羞恥;役;演者,鏡;アバタ;軽減;羞恥;要件
PDF/cache/hasEDA/IPSJ-EC2024056.txt,0.800,0.600,0.800,0.800,0.400,感;没入;明示;体験;語,達成;要素;動き;でき;没入,AI;段階;設計;属性;ない,述べ;要件;感;ため;インタラクティブ
PDF/cache/hasEDA/IPSJ-EC2024109.txt,0.000,0.000,0.000,0.000,0.000,ユーザ;情動;状態;開発者;明示,心;動き;ため;そもそも;でき,欲求;属性;ユーザ;ため;つい,ため;因果;関係;心;動き
PDF/cache/hasEDA/IPSJ-EC2024041.txt,1.000,1.000,0.600,1.000,1.000,感;瀕死;没入;目的;引き起こす,感;瀕死;条件;達成;でき,参加者;経験;段階;設計;属性,感;瀕死;低下;没入;ノイズ
PDF/cache/hasEDA/IPSJ-EC2024093.txt,1.000,1.000,1.000,1.000,1.000,状態;明示;いっ;心理;プレッシャー,ロボット;感;ため;プレッシャー;緊張,少ない;欲求;属性;参加者;発言,ロボット;動作;感;要件;発言
PDF/cache/hasEDA/IPSJ-EC2024086.txt,1.000,0.800,0.800,1.000,0.800,高める;継続;意欲;明示;向上,向上;ため;継続;意欲;達成,ため;ユーザ;継続;意欲;日記,ため;因果的;述べ;指針;デザイン
PDF/cache/hasEDA/IPSJ-EC2024076.txt,0.800,0.800,0.800,1.000,0.800,感;達成;明示;存在;語,感;達成;得;抵抗;ため,設計;欲求;段階;属性;投げ銭,感;金額;達成;要件;抵抗
PDF/cache/hasEDA/IPSJ-EC2024100.txt,1.000,1.000,0.200,1.000,1.000,状態;感じる;空間;没入;視聴者,配置;感;没入;達成;モニター,欲求;段階;設計;属性;ユーザ,感;没入;要件;モニター;述べ
PDF/cache/hasEDA/IPSJ-EC2024073.txt,0.000,0.000,1.000,0.000,0.000,具体的;い;明示;情動;驚き,システム;達成;でき;心;示さ,ユーザ;ミュージシャン;言及;即興;段階,因果;心;動き;達成;技術的
PDF/cache/hasEDA/IPSJ-EC2024002.txt,1.000,1.000,0.400,1.000,1.000,動物;観察;楽しみ;語;情動,感;臨場;ジンバル;機構;撮影,非IT;専門家;段階;設計;属性,感;要件;臨場;揺れ;可搬性
PDF/cache/hasEDA/IPSJ-EC2024013.txt,1.000,1.000,1.000,1.000,1.000,状態;感性;心理;納得;没入,感性;得;納得;マルチモーダル;手法,参加者;欲求;デモ;設計;属性,感;没入;満足;因果;よる
PDF/cache/hasEDA/IPSJ-EC2024038.txt,0.000,0.000,0.400,0.000,0.000,開発者;楽し;い;語;明示,でき;システム;一部;心;達成,段階;設計;属性;ユーザ;テスト,心;因果;動き;い;達成
