file_path,要件1,要件2,要件3,要件4,要件1&2&4,top_tokens_要件1,top_tokens_要件2,top_tokens_要件3,top_tokens_要件4
IPSJ-EC2024030.txt,0.200,0.600,0.800,0.800,0.200,情動;明示;鑑賞者;人物;システム,でき;心;動き;操作;エンベロープ,ユーザ;作家;言及;物語;想定,要件;操作;エンベロープ;心;動き
IPSJ-EC2024003.txt,0.700,0.500,0.800,0.600,0.500,驚き;情動;期待;インタラクティブ;語,驚き;でき;ため;欠く;達成,属性;ユーザ;設計;シェフ;想定,因果的;率;屈折;驚き;要件
IPSJ-EC2024006.txt,0.000,0.000,0.400,0.000,0.000,情動;心;動き;語;驚き,システム;心;要素;動き;達成,参加者;段階;属性;設計;ユーザ,ため;心;要件;因果;動き
IPSJ-EC2024005.txt,0.000,0.200,1.000,0.800,0.000,情動;驚き;い;開発者;語,でき;欠く;達成;システム;特定,コミュニケーション;テキスト;明示;ユーザ;段階,要件;表現;述べ;感情;制御
IPSJ-EC2024020.txt,0.000,0.000,0.800,0.200,0.000,明示;語;期待;い;情動,システム;心;動き;達成;ため,属性;言及;スキル;欲求;得意,動き;要件;心;表現;因果
IPSJ-EC2024026.txt,0.000,0.000,0.600,0.000,0.000,ユーザ;情動;一切;驚き;楽し,心;い;動き;ため;達成,属性;高齢化;ユーザ;いう;言及,心;因果;動き;90;目標
IPSJ-EC2024018.txt,0.000,0.000,0.000,0.000,0.000,情動;明示;語;期待;設計,でき;達成;情動;い;そもそも,段階;属性;つい;ユーザ;欲求,心;動き;システム;要件;表現
IPSJ-EC2024004.txt,0.800,0.800,1.000,0.800,0.800,喚起;モチベーション;楽しめる;環境;提供,でき;提供;状態;未就学児;複数,段階;体格;属性;年齢;性別,要件;モチベーション;喚起;HID;述べ
IPSJ-EC2024037.txt,1.000,1.000,1.000,1.000,1.000,達成;視聴者;つながり;感;開発者,mode;達成;We;感;条件,段階;視聴者;ユーザ;欲求;設計,感;要件;達成;生起;We
IPSJ-EC2024024.txt,1.000,1.000,1.000,1.000,1.000,緊張;軽減;用い;羞恥;語,緊張;標準;軽減;羞恥;版権,演者;緊張;アンケート;事前;役,軽減;アバタ;緊張;要件;述べ
IPSJ-EC2024056.txt,0.700,0.600,0.700,0.700,0.500,体験;感;没入;明示;提供,要素;達成;動き;没入;感,AI;属性;詳しく;ない;段階,要件;感;提供;ポーズ;システム
IPSJ-EC2024109.txt,0.000,0.000,0.000,0.000,0.000,情動;ユーザ;状態;ため;開発者,心;動き;そもそも;ため;でき,属性;欲求;ユーザ;ため;つい,ため;要件;心;関係;因果
IPSJ-EC2024041.txt,1.000,1.000,0.600,1.000,1.000,瀕死;没入;感;目的;引き起こす,瀕死;感;条件;でき;操作性,参加者;段階;設計;経験;属性,瀕死;没入;感;低下;ノイズ
IPSJ-EC2024093.txt,1.000,1.000,1.000,1.000,1.000,緊張;プレッシャー;状態;心理;明示,ロボット;緊張;プレッシャー;ため;感,発言;参加者;多い;少ない;属性,ロボット;台数;発言;緊張;動作
IPSJ-EC2024086.txt,1.000,0.900,0.700,1.000,0.900,モチベーション;意欲;高める;継続;ため,ため;意欲;向上;継続;努力,ユーザ;ため;日記;段階;欲求,ため;指針;述べ;デザイン;システム
IPSJ-EC2024076.txt,0.800,0.800,0.800,1.000,0.800,感;感覚;達成;存在;明示,感;達成;抵抗;得;心,設計;投げ銭;属性;動機;欲求,抵抗;感;要件;達成;金額
IPSJ-EC2024100.txt,1.000,1.000,0.200,1.000,1.000,没入;状態;高く;視聴者;感じる,モニター;没入;感;配置;達成,段階;属性;欲求;設計;言及,モニター;没入;感;要件;述べ
IPSJ-EC2024073.txt,0.000,0.000,1.000,0.000,0.000,情動;驚き;具体的;い;明示,システム;達成;でき;示さ;心,ユーザ;ミュージシャン;言及;即興;段階,達成;心;因果;動き;技術的
IPSJ-EC2024002.txt,1.000,1.000,0.400,1.000,1.000,楽しみ;情動;観察;動物;視聴者,機構;感;臨場;ジンバル;撮影,段階;設計;専門家;飼育員;非IT,感;要件;臨場;揺れ;金網
IPSJ-EC2024013.txt,1.000,1.000,1.000,1.000,1.000,没入;状態;心理;感性;語,感性;得;納得;LLM;手法,参加者;欲求;設計;デモ;属性,没入;感;満足;よる;因果
IPSJ-EC2024038.txt,0.000,0.000,0.400,0.000,0.000,驚き;開発者;明示;楽し;語,でき;達成;システム;心;一部,段階;ユーザ;設計;属性;テスト,心;因果;動き;達成;要件
